Timestamp,What is your current age?,What is your gender?, Which year of study are you currently in?,Which faculty or field of study are you enrolled in? ,What is your current living arrangement during the academic term?,How many hours of sleep do you get per night?,Are you currently engaged in any part-time work or employment while studying?,"In the last month, how often were you upset because something happened that you did not expect (e.g., a sudden exam, assignment, or family issue)?  ","In the last month, how often did you feel unable to control the important things in your life (such as your studies, finances, or family responsibilities)?  ","In the last month, how often did you feel nervous or stressed?  ","In the last month, how often did you feel confident about your ability to handle your personal problems (e.g., study load, relationships, or finances)?  ","In the last month, how often did you feel that things were going well for you?  ","In the last month, how often did you feel you could not cope with everything you had to do (lectures, assignments, exams, part-time work, or family)?  ","In the last month, how often were you able to control irritations in your daily life?  ","In the last month, how often did you feel that you were on top of things (e.g., keeping up with coursework and deadlines)?  ","In the last month, how often were you angered by things that were outside your control (e.g., university delays, transport, or internet/network issues)?  ","In the last month, how often did you feel that difficulties were piling up so high that you could not overcome them?  ","In the last month, how often did you find yourself thinking about things you needed to accomplish (e.g., assignments, exams, or project deadlines)?  ","In the last month, how often were you able to control how you spent your time between your studies, personal life, and other responsibilities?  ","In the last month, how often have you dealt successfully with irritating life hassles (e.g., transport delays, scheduling conflicts)?","In the last month, how often did you feel you were effectively coping with important changes in your life (e.g., transitioning to university, new living arrangements)?",Email address
22/06/2026 12:37:55,20,Male,3rd Year,Computing / IT,Living with family or relatives,6 to 8 hours,Yes,0,0,3,3,2,1,2,2,2,0,2,0,0,0,
22/06/2026 12:50:51,22,Male,4th Year,Computing / IT,Living with family or relatives,6 to 8 hours,Yes,3,3,2,0,2,0,1,2,4,0,3,2,3,0,
22/06/2026 12:53:35,25,Female,4th Year,Computing / IT,Living with family or relatives,4 to 6 hours,Yes,4,3,4,3,2,3,3,3,4,2,2,3,4,0,
22/06/2026 13:03:56,21,Male,4th Year,Computing / IT,Living with family or relatives,4 to 6 hours,Yes,2,3,1,3,1,3,3,2,2,3,4,1,2,3,
22/06/2026 13:05:44,23,Female,4th Year,Computing / IT,University hostel,4 to 6 hours,No,2,2,1,3,2,1,2,3,1,2,3,1,1,1,
22/06/2026 13:06:56,23,Male,3rd Year,Engineering / Technology,Private boarding / renting with friends,4 to 6 hours,No,3,3,4,3,4,3,2,1,0,3,4,1,1,1,
22/06/2026 13:09:25,24,Male,4th Year,Computing / IT,Living with family or relatives,4 to 6 hours,No,1,1,2,1,2,0,3,4,2,1,3,2,0,2,
22/06/2026 13:10:45,23,Female,4th Year,Medicine / Allied Health Sciences,Living with family or relatives,6 to 8 hours,No,0,1,2,2,4,1,1,0,3,3,3,1,1,1,
22/06/2026 13:13:40,27,Female,4th Year,Engineering / Technology,University hostel,4 to 6 hours,No,2,2,2,2,2,2,3,3,3,2,3,2,2,2,
22/06/2026 13:16:07,23,Female,3rd Year,Computing / IT,Living with family or relatives,4 to 6 hours,No,4,3,3,3,3,3,3,3,3,3,3,3,3,3,
22/06/2026 13:26:04,27,Female,4th Year,Medicine / Allied Health Sciences,University hostel,6 to 8 hours,No,4,3,2,2,2,2,2,1,2,3,2,2,2,1,
22/06/2026 13:28:34,27,Male,4th Year,Computing / IT,Living alone,4 to 6 hours,No,4,4,4,4,4,4,2,4,4,4,2,4,4,0,
22/06/2026 13:36:40,24,Male,4th Year,Engineering / Technology,Private boarding / renting with friends,6 to 8 hours,No,1,1,1,1,3,1,3,3,1,1,3,2,2,2,
22/06/2026 13:44:44,24,Male,4th Year,Computing / IT,Living with family or relatives,6 to 8 hours,Yes,2,2,3,4,2,1,3,2,4,2,4,2,1,4,
22/06/2026 13:45:40,27,Female,4th Year,Management / Commerce,Living with family or relatives,4 to 6 hours,Yes,2,3,2,3,1,1,3,3,3,3,4,4,2,3,
22/06/2026 13:54:22,25,Female,3rd Year,Computing / IT,Private boarding / renting with friends,4 to 6 hours,Yes,3,2,3,4,1,3,2,2,3,2,2,2,4,2,
22/06/2026 13:56:49,23,Male,4th Year,Computing / IT,Private boarding / renting with friends,4 to 6 hours,Yes,2,1,3,3,1,1,3,2,1,2,1,1,2,2,
22/06/2026 14:07:52,23,Female,3rd Year,Computing / IT,Private boarding / renting with friends,4 to 6 hours,Yes,4,3,4,1,1,2,3,1,2,3,2,3,3,2,
22/06/2026 14:14:39,26,Female,4th Year,Medicine / Allied Health Sciences,Private boarding / renting with friends,6 to 8 hours,No,2,2,2,3,3,2,2,2,2,2,2,2,2,2,
22/06/2026 14:19:45,22,Male,2nd Year,Engineering / Technology,Private boarding / renting with friends,6 to 8 hours,Yes,2,1,3,2,2,3,2,2,2,1,3,2,2,1,
22/06/2026 14:24:55,25,Male,4th Year,Computing / IT,Living with family or relatives,4 to 6 hours,Yes,4,4,4,4,2,2,4,3,2,2,4,2,3,0,
22/06/2026 14:41:18,25,Female,4th Year,Computing / IT,Living with family or relatives,6 to 8 hours,Yes,3,3,4,3,2,1,1,1,4,4,4,4,3,2,
22/06/2026 14:56:25,25,Male,4th Year,Computing / IT,Living with family or relatives,4 to 6 hours,No,1,2,2,2,3,2,2,1,1,2,3,3,2,1,
22/06/2026 14:57:15,22,Male,2nd Year,Engineering / Technology,Private boarding / renting with friends,6 to 8 hours,No,2,2,3,2,3,2,3,1,3,1,4,2,2,1,
22/06/2026 15:12:58,24,Female,4th Year,Computing / IT,Living with family or relatives,4 to 6 hours,Yes,4,2,4,1,0,4,4,1,4,4,4,2,3,1,
22/06/2026 15:25:51,24,Male,4th Year,Engineering / Technology,Living with family or relatives,4 to 6 hours,No,2,4,3,1,2,4,2,1,4,4,4,1,4,1,
22/06/2026 15:32:46,26,Male,4th Year,Science / Applied Science,University hostel,Less than 4 hours,Yes,4,4,4,4,2,4,0,4,4,4,4,4,4,4,
22/06/2026 15:44:24,24,Male,4th Year,Computing / IT,Living with family or relatives,4 to 6 hours,No,2,2,2,2,2,2,2,2,2,1,3,2,1,2,
22/06/2026 16:33:24,24,Female,2nd Year,Science / Applied Science,Private boarding / renting with friends,4 to 6 hours,Yes,4,3,4,3,3,2,2,3,3,2,2,3,2,2,
22/06/2026 16:38:11,24,Female,4th Year,Medicine / Allied Health Sciences,Private boarding / renting with friends,Less than 4 hours,No,2,3,2,3,3,3,2,2,2,3,3,3,4,1,
22/06/2026 16:53:29,26,Male,4th Year,Computing / IT,Living with family or relatives,6 to 8 hours,No,2,1,2,2,3,2,2,3,4,1,3,3,2,2,
22/06/2026 16:53:54,24,Male,4th Year,Computing / IT,Living with family or relatives,4 to 6 hours,Yes,1,2,1,4,0,2,2,2,2,2,4,1,0,1,
